2022-09-12 22:46:34,284: Key.cmd
2022-09-12 22:46:35,360: 'h'
2022-09-12 22:46:35,537: 'e'
2022-09-12 22:46:35,713: 'l'
2022-09-12 22:46:35,877: 'l'
2022-09-12 22:46:36,073: 'o'
2022-09-12 22:46:36,249: Key.space
2022-09-12 22:46:37,194: ','
2022-09-12 22:46:38,035: 'm'
2022-09-12 22:46:38,227: 'o'
2022-09-12 22:46:38,403: 't'
2022-09-12 22:46:38,538: 'o'
2022-09-12 22:46:39,457: Key.enter
2022-09-13 13:13:37,623: Key.cmd
2022-09-13 13:13:37,888: Key.print_screen
2022-09-13 13:13:42,513: Key.cmd
2022-09-13 13:13:45,771: 't'
2022-09-13 13:13:45,935: 'h'
2022-09-13 13:13:46,128: 'i'
2022-09-13 13:13:46,297: 's'
2022-09-13 13:13:46,474: Key.space
2022-09-13 13:13:46,748: 'i'
2022-09-13 13:13:46,848: 's'
2022-09-13 13:13:46,985: Key.space
2022-09-13 13:13:48,072: 'k'
2022-09-13 13:13:48,252: 'e'
2022-09-13 13:13:48,410: 'y'
2022-09-13 13:13:49,124: 'l'
2022-09-13 13:13:49,312: 'o'
2022-09-13 13:13:49,609: 'g'
2022-09-13 13:13:49,763: 'g'
2022-09-13 13:13:49,896: 'e'
2022-09-13 13:13:50,021: 'r'
2022-09-13 13:13:52,758: Key.cmd
2022-09-13 13:13:52,941: Key.print_screen
2022-09-13 13:14:01,469: Key.cmd
2022-09-13 13:14:01,971: Key.print_screen
2022-09-13 13:14:28,416: Key.cmd
2022-09-13 13:14:28,911: Key.cmd
2022-09-13 13:14:28,940: Key.cmd
2022-09-13 13:14:28,971: Key.cmd
2022-09-13 13:14:29,001: Key.cmd
2022-09-13 13:14:29,031: Key.cmd
2022-09-13 13:14:29,059: Key.cmd
2022-09-13 13:14:29,089: Key.cmd
2022-09-13 13:14:29,119: Key.cmd
2022-09-13 13:14:29,151: Key.cmd
2022-09-13 13:14:29,178: Key.cmd
2022-09-13 13:14:29,208: Key.cmd
2022-09-13 13:14:29,238: Key.cmd
2022-09-13 13:14:29,268: Key.cmd
2022-09-13 13:14:29,298: Key.cmd
2022-09-13 13:14:29,327: Key.cmd
2022-09-13 13:14:29,360: Key.cmd
2022-09-13 13:14:29,389: Key.cmd
2022-09-13 13:14:29,417: Key.cmd
2022-09-13 13:14:29,448: Key.cmd
2022-09-13 13:14:29,481: Key.cmd
2022-09-13 13:14:29,506: Key.cmd
2022-09-13 13:14:29,535: Key.cmd
2022-09-13 13:14:29,565: Key.cmd
2022-09-13 13:14:29,595: Key.cmd
2022-09-13 13:14:29,625: Key.cmd
2022-09-13 13:14:29,654: Key.cmd
2022-09-13 13:14:29,684: Key.cmd
2022-09-13 13:14:29,704: Key.print_screen
2022-11-08 18:09:47,075: 'h'
2022-11-08 18:09:47,250: 'i'
2022-11-08 18:09:47,464: Key.space
2022-11-08 18:09:48,182: 'h'
2022-11-08 18:09:48,494: 'o'
2022-11-08 18:09:48,700: 'w'
2022-11-08 18:09:48,852: Key.space
2022-11-08 18:09:48,963: 'a'
2022-11-08 18:09:49,308: 'r'
2022-11-08 18:09:49,433: 'e'
2022-11-08 18:09:49,617: Key.space
2022-11-08 18:09:49,809: 'y'
2022-11-08 18:09:50,031: 'o'
2022-11-08 18:09:50,232: 'u'
2022-11-08 18:09:51,383: Key.shift_r
2022-11-08 18:09:51,881: Key.shift_r
2022-11-08 18:09:52,204: Key.space
2022-11-08 18:09:52,431: 'd'
2022-11-08 18:09:52,601: 'o'
2022-11-08 18:09:52,846: 'i'
2022-11-08 18:09:53,081: 'n'
2022-11-08 18:09:53,264: 'g'
2022-11-08 18:09:53,644: Key.enter

2022-11-19 10:07:22,310: 'i'
2022-11-19 10:07:22,877: Key.space
2022-11-19 10:07:23,552: 'a'
2022-11-19 10:07:23,706: 'm'
2022-11-19 10:07:23,914: Key.space
2022-11-19 10:07:24,132: 'a'
2022-11-19 10:07:24,271: Key.space
2022-11-19 10:07:24,590: 's'
2022-11-19 10:07:24,752: 't'
2022-11-19 10:07:24,986: 'u'
2022-11-19 10:07:25,174: 'd'
2022-11-19 10:07:25,298: 'e'
2022-11-19 10:07:25,457: 'n'
2022-11-19 10:07:25,907: 't'
2022-11-19 10:07:26,126: Key.space
2022-11-19 10:07:26,358: 'o'
2022-11-19 10:07:26,537: 'f'
2022-11-19 10:07:26,671: Key.space
2022-11-19 10:07:27,410: 'l'
2022-11-19 10:07:27,609: 'p'
2022-11-19 10:07:27,890: 'u'
